classifier_name,dataset_name,accuracy,sensing,
SpikingVGG9,ssc,76.22,neuromorphic,
SEW-ResNet34,ssc,73.96,neuromorphic,
MS-ResNet34,ssc,72.6,neuromorphic,
Spikformer256,ssc,72.69,neuromorphic,
Meta-Spikeformer256,ssc,75.83,neuromorphic,
QKFormer256,ssc,77.64,neuromorphic,
SpikingResFormer256,ssc,74.61,neuromorphic,
LeNet,urbansound,75.62,acoustic,
SpikingVGG9,urbansound,82.76,acoustic,
SEW-ResNet34,urbansound,75.86,acoustic,
MS-ResNet34,urbansound,79.07,acoustic,
Spikformer256,urbansound,82.88,acoustic,
Meta-Spikeformer256,urbansound,80.04,acoustic,
QKFormer256,urbansound,83.73,acoustic,
SpikingResFormer256,urbansound,82.88,acoustic,
LeNet,gsc,92.69,acoustic,
SpikingVGG9,gsc,96.53,acoustic,
SEW-ResNet34,gsc,96.04,acoustic,
MS-ResNet34,gsc,95.67,acoustic,
Spikformer256,gsc,96.14,acoustic,
Meta-Spikeformer256,gsc,96.55,acoustic,
QKFormer256,gsc,96.23,acoustic,
SpikingResFormer256,gsc,95.27,acoustic,
LeNet,shd,73,acoustic,
SpikingVGG9,shd,77.5,acoustic,
SEW-ResNet34,shd,71,acoustic,
MS-ResNet34,shd,72,acoustic,
Spikformer256,shd,77.5,acoustic,
Meta-Spikeformer256,shd,64,acoustic,
QKFormer256,shd,73,acoustic,
SpikingResFormer256,shd,73,acoustic,
LeNet,ssc,57.5,acoustic,
SpikingVGG9,ssc,70.5,acoustic,
SEW-ResNet34,ssc,63,acoustic,
MS-ResNet34,ssc,62,acoustic,
Spikformer256,ssc,71.25,acoustic,
Meta-Spikeformer256,ssc,60.75,acoustic,
QKFormer256,ssc,66.75,acoustic,
SpikingResFormer256,ssc,68.25,acoustic,
